latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
31.9573,11.14366,309.29,0.41,0.37,2023-12-07,113,1,VIIRS,n,2.0NRT,281.65,0.79,N
31.96248,5.2146,296.81,0.46,0.39,2023-12-07,113,1,VIIRS,n,2.0NRT,280.43,0.54,N
32.1373,6.46806,325.82,0.42,0.38,2023-12-07,113,1,VIIRS,n,2.0NRT,279.58,3.44,N
32.35625,6.97873,311.78,0.41,0.37,2023-12-07,113,1,VIIRS,n,2.0NRT,279.2,15.66,N
32.35686,6.97444,328.25,0.41,0.37,2023-12-07,113,1,VIIRS,n,2.0NRT,282.07,15.66,N
32.40396,4.00388,304.21,0.53,0.42,2023-12-07,113,1,VIIRS,n,2.0NRT,280.46,1.19,N
32.55527,3.16957,315.07,0.39,0.44,2023-12-07,113,1,VIIRS,n,2.0NRT,281.61,1.85,N
32.55574,3.16544,313.64,0.39,0.44,2023-12-07,113,1,VIIRS,n,2.0NRT,278.75,1.67,N
32.55648,3.16858,336.94,0.39,0.44,2023-12-07,113,1,VIIRS,n,2.0NRT,282.79,2.08,N
32.74026,3.17915,296.28,0.39,0.44,2023-12-07,113,1,VIIRS,n,2.0NRT,278.66,0.61,N
32.74831,3.18041,312.18,0.39,0.44,2023-12-07,113,1,VIIRS,n,2.0NRT,279.21,1.74,N
32.93139,3.24413,312.34,0.39,0.44,2023-12-07,113,1,VIIRS,n,2.0NRT,279.17,1.44,N
32.9323,3.23576,297.82,0.39,0.44,2023-12-07,113,1,VIIRS,n,2.0NRT,279.33,0.54,N
32.93275,3.23157,298.65,0.39,0.44,2023-12-07,113,1,VIIRS,n,2.0NRT,279.11,0.54,N
32.93367,3.22317,296.87,0.39,0.44,2023-12-07,113,1,VIIRS,n,2.0NRT,280.27,0.77,N
32.93678,3.23219,304.87,0.39,0.44,2023-12-07,113,1,VIIRS,n,2.0NRT,279.72,1.59,N
32.94529,3.22924,297.96,0.39,0.44,2023-12-07,113,1,VIIRS,n,2.0NRT,279.62,3.86,N
32.94931,3.22989,338.23,0.39,0.44,2023-12-07,113,1,VIIRS,n,2.0NRT,284.18,3.86,N
32.94977,3.22571,295.24,0.39,0.44,2023-12-07,113,1,VIIRS,n,2.0NRT,278.89,3.86,N
32.95023,3.22152,298.44,0.39,0.44,2023-12-07,113,1,VIIRS,n,2.0NRT,278.38,0.71,N
32.9538,3.22637,298.86,0.39,0.44,2023-12-07,113,1,VIIRS,n,2.0NRT,278.34,0.6,N
33.06999,3.33154,295.13,0.39,0.44,2023-12-07,113,1,VIIRS,n,2.0NRT,278.32,0.73,N
33.12578,3.31722,304.92,0.39,0.44,2023-12-07,113,1,VIIRS,n,2.0NRT,277.84,1.2,N
