latitude,longitude,path,row,scan,track,acq_date,acq_time,satellite,confidence,daynight
30.201513,-92.992883,24,39,4600,4280,2023-11-26,1644,L8,H,D
30.237791,-92.996622,24,39,4588,4146,2023-11-26,1644,L8,M,D
30.251301,-93.278835,24,39,3683,4095,2023-11-26,1644,L8,H,D
30.251798,-93.299106,24,39,3618,4093,2023-11-26,1644,L8,L,D
30.252652,-93.280398,24,39,3678,4090,2023-11-26,1644,L8,M,D
30.252652,-93.280086,24,39,3679,4090,2023-11-26,1644,L8,M,D
30.255064,-93.291319,24,39,3643,4081,2023-11-26,1644,L8,M,D
30.260759,-93.287282,24,39,3656,4060,2023-11-26,1644,L8,H,D
30.260759,-93.28697,24,39,3657,4060,2023-11-26,1644,L8,H,D
30.261029,-93.287283,24,39,3656,4059,2023-11-26,1644,L8,H,D
30.26103,-93.286971,24,39,3657,4059,2023-11-26,1644,L8,H,D
30.288657,-93.089583,24,39,4290,3958,2023-11-26,1644,L8,L,D
30.322681,-93.176056,24,39,4013,3832,2023-11-26,1644,L8,L,D
30.351709,-93.122417,24,39,4185,3725,2023-11-26,1644,L8,M,D
30.35171,-93.122105,24,39,4186,3725,2023-11-26,1644,L8,H,D
30.410392,-93.416091,24,39,3245,3506,2023-11-26,1644,L8,H,D
30.410393,-93.415778,24,39,3246,3506,2023-11-26,1644,L8,L,D
30.410663,-93.416092,24,39,3245,3505,2023-11-26,1644,L8,H,D
30.410664,-93.415779,24,39,3246,3505,2023-11-26,1644,L8,H,D
30.463202,-93.16287,24,39,4056,3313,2023-11-26,1644,L8,H,D
30.463473,-93.163183,24,39,4055,3312,2023-11-26,1644,L8,L,D
30.463473,-93.162871,24,39,4056,3312,2023-11-26,1644,L8,H,D
30.485345,-93.334201,24,39,3508,3230,2023-11-26,1644,L8,H,D
30.485346,-93.333888,24,39,3509,3230,2023-11-26,1644,L8,H,D
30.485347,-93.333576,24,39,3510,3230,2023-11-26,1644,L8,L,D
30.485616,-93.334202,24,39,3508,3229,2023-11-26,1644,L8,H,D
30.485617,-93.333889,24,39,3509,3229,2023-11-26,1644,L8,H,D
30.485618,-93.333577,24,39,3510,3229,2023-11-26,1644,L8,L,D
30.485887,-93.334203,24,39,3508,3228,2023-11-26,1644,L8,L,D
